角色,根角色描述,PT-派生角色,PT- 派生描述
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1129_PT5115N_01,大庆油田_大庆油田设计院华南通用工厂   _货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1129_PT5112M_01,大庆油田_大庆油田设计院有限公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1129_PT5115M_01,大庆油田_大庆油田设计院西南通用工厂    _货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1129_PT5115P_01,大庆油田_大庆油田设计院新科苑通用工厂    _货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1130_PT5113G_01,大庆油田_大庆榆树林油田通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1130_PT5116T_01,大庆油田_大庆榆树林油田肇州分公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1131_PT5112N_01,大庆油田_大庆油田头台油田通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1132_PT5112K_01,大庆油田_大庆油田新肇公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1133_PT5112J_01,大庆油田_大庆油田龙虎泡公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1134_PT5112L_01,大庆油田_大庆油田模范屯油田有限责任公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1143_PT5117S_01,大庆油田_塔木察格公司蒙古办事处通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1143_PT5117D_01,大庆油田_塔木察格公司蒙古19区块通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1143_PT5117F_01,大庆油田_塔木察格公司蒙古21区块通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1143_PT5117G_01,大庆油田_塔木察格公司蒙古22区块通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1143_PT5117R_01,大庆油田_塔木察格公司（美国）机关通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1143_PT5117Q_01,大庆油田_塔木察格大庆蒙古有限公司（开曼）通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1154_PT5111K_01,大庆油田_大庆油田电力运维分公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1155_PT5113P_01,大庆油田_汤原县方兴试采有限责任公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1157_PT5111L_01,大庆油田_大庆油田新能源研究开发分公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1160_PT5112R_01,大庆油田_广西中油清洁能源有限公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1161_PT5112S_01,大庆油田_浦北中油清洁能源有限公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1162_PT5113B_01,大庆油田_钦州市钦南区中油清洁能源有限公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1163_PT5112U_01,大庆油田_钦州市钦北区中油清洁能源有限公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1164_PT5112T_01,大庆油田_灵山中油清洁能源有限公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1165_PT5113D_01,大庆油田_中油林甸县新能源有限公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1168_PT5115R_01,大庆油田_大庆油田红岗新能源有限公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1169_PT5115S_01,大庆油田_中油黑龙江安达新能源有限公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_112A_PT5112Q_01,大庆油田_大庆油田恒安评价公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_113A_PT5113C_01,大庆油田_大庆油田庆新油田通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_113B_PT5112P_01,大庆油田_大庆油田黑帝庙油田黑帝庙公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_113E_PT5113H_01,大庆油田_大庆油田国开公司DPS克孜勒奥尔达公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_113F_PT5113J_01,大庆油田_大庆油田国开公司DPS印尼公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_11G1_PT5113Q_01,大庆油田_大庆油田大庆石油（香港）有限公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_11G2_PT5113L_01,大庆油田_中石油哈法亚FZCO本部通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_11G2_PT5113M_01,大庆油田_大庆油田国开公司哈法亚FZCO伊拉克公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_11G5_PT5113K_01,大庆油田_大庆维特油气有限公司本部通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C053_01,大庆油田_保险中心通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C001_01,大庆油田_大庆石油管理局财务部总部通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C07S_01,大庆油田_大庆石油管理局储气库项目部通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C07N_01,大庆油田_大庆石油管理局发展集团通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C014_01,大庆油田_大庆油田电力集团通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_C000_PT5C08R_01,大庆油田_大庆油田房地产开发矿区项目部通用工厂_货物移动_操作
